field_id,scan_id,latitude,longitude,boat_count,mean_confidence,location_name,country,detection_weights,detection_date,enriched_place_name,enrichment_status,prospect_id,needs_review
40,1,43.79108948216288,-69.89065228167074,102,0.6511541628370098,"945 Cundy's Harbor Rd, Harpswell, ME 04079, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,,pending,,
41,1,43.787569158252126,-69.8885495974722,6,0.7969563802083334,"Q4Q6+2H Harpswell, ME, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,,pending,,
42,1,43.787935107017425,-69.89142425513398,4,0.51678466796875,"988 Cundy's Harbor Rd, Orr's Island, ME 04066, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,,pending,,
43,1,41.63724475910186,-70.27160636837421,17,0.7222397748161765,"JPPH+V9 Barnstable, MA, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,,pending,,
44,1,41.63900344476001,-70.27132290774189,5,0.662890625,"JPQH+JF Barnstable, MA, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,,pending,,
45,1,41.63541084514872,-70.27132290766004,5,0.640478515625,"JPPH+5F Barnstable, MA, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,,pending,,
46,1,41.63928662947357,-70.27762607625903,5,0.4344970703125,"490 Ocean St, Hyannis, MA 02601, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,,pending,,
47,1,44.202716947530746,-69.05320583992949,5,0.665625,"6W3W+3P Camden, ME, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,,pending,,
48,1,44.204515189966585,-69.05323158920697,15,0.6426595052083334,"6W3W+RP Camden, ME, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,,pending,,
49,1,44.20631189400429,-69.05323158931611,5,0.619580078125,"6W4W+GP Camden, ME, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,,pending,,
50,1,41.627114366000704,-70.91222442297585,69,0.5390943444293478,"J3GQ+R4 New Bedford, MA, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,,pending,,
51,1,41.624007112071396,-70.91037010237214,23,0.6276749320652174,"J3FQ+JV New Bedford, MA, USA",United States,auto,2026-06-15T16:53:18.966241+00:00,,pending,,
